id,day,symbol,time,timestamp,price,volume
142,2024-09-20,SPX241220P04900000,2024-09-20T13:45:49,1726839949011,27.7,4
143,2024-09-20,SPX241220P04900000,2024-09-20T13:59:08,1726840748874,28.3,31
144,2024-09-20,SPX241220P04900000,2024-09-20T14:20:13,1726842013930,28,20
145,2024-09-20,SPX241220P04900000,2024-09-20T14:39:37,1726843177939,27.32,83
146,2024-09-20,SPX241220P04900000,2024-09-20T14:39:37,1726843177939,27.32,168
147,2024-09-20,SPX241220P04900000,2024-09-20T14:39:37,1726843177939,27.32,82
148,2024-09-20,SPX241220P04900000,2024-09-20T14:39:37,1726843177940,27.32,168
150,2024-09-20,SPX241220P04900000,2024-09-20T14:39:37,1726843177940,27.32,670
152,2024-09-20,SPX241220P04900000,2024-09-20T14:39:37,1726843177941,27.32,168
153,2024-09-20,SPX241220P04900000,2024-09-20T14:41:29,1726843289941,27.4,1
154,2024-09-20,SPX241220P04900000,2024-09-20T14:42:14,1726843334198,27.5,2
156,2024-09-20,SPX241220P04900000,2024-09-20T14:42:14,1726843334198,27.5,1
157,2024-09-20,SPX241220P04900000,2024-09-20T14:42:35,1726843355061,27.57,5
158,2024-09-20,SPX241220P04900000,2024-09-20T14:42:51,1726843371825,27.5,26
159,2024-09-20,SPX241220P04900000,2024-09-20T14:45:53,1726843553030,27.37,6
161,2024-09-20,SPX241220P04900000,2024-09-20T15:01:25,1726844485493,27.32,49
163,2024-09-20,SPX241220P04900000,2024-09-20T15:01:25,1726844485499,27.32,33
164,2024-09-20,SPX241220P04900000,2024-09-20T15:06:26,1726844786248,28.15,1
165,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339586,28.5,50
167,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339587,28.5,50
168,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339588,28.5,50
170,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339589,28.5,100
171,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339590,28.5,50
172,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339591,28.5,50
174,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339592,28.5,25
175,2024-09-20,SPX241220P04900000,2024-09-20T15:32:19,1726846339593,28.5,50
176,2024-09-20,SPX241220P04900000,2024-09-20T15:37:12,1726846632954,28.2,2
177,2024-09-20,SPX241220P04900000,2024-09-20T19:14:11,1726859651026,27.4,1
178,2024-09-20,SPX241220P04900000,2024-09-20T19:16:44,1726859804307,27.25,1
179,2024-09-20,SPX241220P04900000,2024-09-20T19:55:57,1726862157721,26.7,2
180,2024-09-20,SPX241220P04900000,2024-09-20T19:57:26,1726862246047,26.2,1832
181,2024-09-20,SPX241220P05700000,2024-09-20T13:39:42,1726839582778,135,9
182,2024-09-20,SPX241220P05700000,2024-09-20T13:44:59,1726839899418,137.03,1
183,2024-09-20,SPX241220P05700000,2024-09-20T13:45:34,1726839934815,138.22,1
184,2024-09-20,SPX241220P05700000,2024-09-20T13:46:28,1726839988909,137.94,1
185,2024-09-20,SPX241220P05700000,2024-09-20T13:46:43,1726840003803,137.98,10
186,2024-09-20,SPX241220P05700000,2024-09-20T13:49:58,1726840198124,138.2,1
187,2024-09-20,SPX241220P05700000,2024-09-20T13:50:12,1726840212553,137.59,1
188,2024-09-20,SPX241220P05700000,2024-09-20T13:50:23,1726840223697,137.49,1
189,2024-09-20,SPX241220P05700000,2024-09-20T13:51:07,1726840267786,136.51,1
190,2024-09-20,SPX241220P05700000,2024-09-20T13:51:36,1726840296560,137.16,3
191,2024-09-20,SPX241220P05700000,2024-09-20T13:51:45,1726840305740,137.32,1
192,2024-09-20,SPX241220P05700000,2024-09-20T14:05:36,1726841136989,140.3,9
193,2024-09-20,SPX241220P05700000,2024-09-20T14:25:39,1726842339697,137.94,2
194,2024-09-20,SPX241220P05700000,2024-09-20T14:48:43,1726843723603,138.37,2
195,2024-09-20,SPX241220P05700000,2024-09-20T14:55:51,1726844151649,142.1,10
196,2024-09-20,SPX241220P05700000,2024-09-20T15:50:13,1726847413319,138,1000
197,2024-09-20,SPX241220P05700000,2024-09-20T16:10:20,1726848620044,137.67,1
198,2024-09-20,SPX241220P05700000,2024-09-20T16:33:01,1726849981600,135,25
199,2024-09-20,SPX241220P05700000,2024-09-20T16:44:25,1726850665242,133.81,2
